OID_;Codigo;Municipio;Total;Mas65;Porcentaje
1012;40026;Basardilla;168;20;11,9047619
1013;48015;Basauri;40535;11040;27,23572222
1014;17016;Bàscara;1015;213;20,98522167
1015;9045;Basconcillos del Tozo;292;91;31,16438356
1016;34028;Báscones de Ojeda;138;53;38,4057971
1017;9046;Bascuñana;21;11;52,38095238
1018;16030;Bascuñana de San Pedro;20;4;20
1019;25044;Bassella;224;61;27,23214286
1020;37045;Bastida, La;32;17;53,125
1021;43022;Batea;1879;558;29,69664715
1022;6017;Baterno;258;81;31,39534884
1023;28017;Batres;1820;276;15,16483516
1024;25045;Bausen;66;25;37,87878788
1025;4020;Bayárcal;317;74;23,34384858
1026;4021;Bayarque;219;77;35,15981735
1027;42032;Bayubas de Abajo;135;74;54,81481481
1028;42033;Bayubas de Arriba;61;32;52,45901639
1029;18023;Baza;20281;3862;19,04245353
1030;31050;Baztan;7863;1761;22,39603205
1031;44036;Bea;31;8;25,80645161
1032;32010;Beade;379;143;37,73087071
1033;16031;Beamud;38;15;39,47368421
1034;32011;Beariz;971;471;48,50669413
1035;21011;Beas;4464;958;21,46057348
1036;18024;Beas de Granada;980;248;25,30612245
1037;18025;Beas de Guadix;323;89;27,55417957
1038;23012;Beas de Segura;5115;1057;20,66471163
1039;20019;Beasain;13949;2870;20,57495161
1040;5024;Becedas;183;94;51,36612022
1041;5025;Becedillas;77;29;37,66233766
1042;44037;Beceite;544;156;28,67647059
1043;27006;Becerreá;2826;993;35,13800425
1044;34029;Becerril de Campos;762;268;35,17060367
1045;28018;Becerril de la Sierra;6108;979;16,02815979
1046;47015;Becilla de Valderaduey;218;82;37,6146789
1047;4022;Bédar;974;388;39,83572895
1048;48092;Bedia;1076;221;20,53903346
1049;23902;Bedmar y Garcíez;2656;573;21,57379518
1050;23014;Begíjar;2998;572;19,07938626
1051;27007;Begonte;2976;1093;36,72715054
1052;8020;Begues;7356;1027;13,96139206
1053;17013;Begur;4039;890;22,03515722
1054;31137;Beintza-Labaien;214;56;26,1682243
1055;31051;Beire;301;100;33,22259136
1056;4023;Beires;132;56;42,42424242
1057;20020;Beizama;144;29;20,13888889
1058;37046;Béjar;12269;3657;29,80683022
1059;12022;Bejís;390;127;32,56410256
1060;14008;Belalcázar;3207;818;25,50670408
1061;31052;Belascoáin;117;27;23,07692308
1062;20021;Belauntza;253;65;25,6916996
1063;9047;Belbimbre;57;18;31,57894737
1064;50045;Belchite;1540;456;29,61038961
1065;37047;Beleña;227;114;50,22026432
1066;46047;Bèlgida;654;156;23,85321101
1067;25046;Belianes;521;166;31,86180422
1068;16032;Belinchón;369;115;31,16531165
1069;25170;Bellaguarda;292;87;29,79452055
1070;17018;Bellcaire d'Empordà;699;162;23,17596567
1071;25047;Bellcaire d'Urgell;1225;325;26,53061224
1072;25048;Bell-lloc d'Urgell;2329;483;20,73851438
1073;43023;Bellmunt del Priorat;281;78;27,75800712
1074;25049;Bellmunt d'Urgell;182;46;25,27472527
1075;44039;Bello;224;99;44,19642857
1076;8021;Bellprat;73;24;32,87671233
1077;25050;Bellpuig;5151;954;18,5206756
1078;46048;Bellreguard;4632;897;19,36528497
1079;46049;Bellús;311;84;27,0096463
1080;43024;Bellvei;2303;401;17,41207121
1081;25051;Bellver de Cerdanya;2135;450;21,07728337
1082;25052;Bellvís;2258;555;24,57927369
1083;14009;Belmez;2905;787;27,09122203
